winery,country,provinces,prices,scores,designations,varieties,num_wines
Aguirre,{Chile},"{Maule Valley, Central Valley}","{9.0, 12.0, 7.0, 15.0}","{80, 81, 82, 83, 84, 85}","{Reina Ana, Reina Ana Gran Reserva, Reina Ana Reserva, Reina Ana Villa Alegre Reserva, Kunza}","{Cabernet Sauvignon-Syrah, Chardonnay, Sauvignon Blanc, Cabernet Sauvignon-Merlot, Cabernet Sauvignon}",8
Agustinos,{Chile},"{Bío Bío Valley, Maipo Valley, Rapel Valley, Aconcagua Valley, Cachapoal Valley}","{8.0, 40.0, 10.0, 11.0, 9.0, 13.0, 14.0, 15.0, 16.0, 18.0}","{83, 84, 85, 86, 87, 88, 90}","{Reserva, Reserva Privada, Gran Terroir Estate Grown La Huella Vineyard, Reserva Maitén Single Vineyard, Escorial Limited Selection}","{Cabernet Sauvignon, Malbec, Pinot Noir, Carmenère, Sauvignon Blanc}",19
Agustí Torelló,{Spain},{Catalonia},"{116.0, 85.0}","{90, 92}",{Kripta Gran Reserva Brut Nature},{Sparkling Blend},2
Agustí Torelló Mata,{Spain},{Catalonia},"{37.0, 38.0, 39.0, 40.0, 45.0, 16.0, 53.0, 22.0, 23.0, 150.0, 25.0, 21.0, 27.0, 29.0}","{86, 87, 88, 89, 90, 91, 92, 93}","{Gran Reserva Brut Nature, XII Subirat Parent, Brut Reserva, Gran Reserva Brut Nature Barrica, Brut Reserva Rosat}","{Sparkling Blend, Trepat, Macabeo, Malvasia, Xarel-lo}",20
Agustín Cubero,{Spain},{Northern Spain},"{9.0, 11.0, 12.0}","{80, 81}","{Unus Old Vine, Unus}","{Garnacha, Syrah}",3
Ahlgren,{US},{California},"{35.0, 28.0}","{89, 90, 86}","{Bates' Ranch, Bates Ranch}","{Cabernet Sauvignon, Cabernet Franc}",3
Ahnfeldt,{US},{California},{49.0},{87},{Quid Pro Quo},{Bordeaux-style Red Blend},1
Aia Vecchia,{Italy},{Tuscany},"{16.0, 40.0, 35.0, 15.0}","{85, 86, 87, 90, 91, 95}","{Lagone, Sorugo, Sor Ugo}",{Red Blend},8
Aigner,{Austria},{Kremstal},"{16.0, 25.0, 17.0}","{90, 91}","{Sandgrube, Ried Weinzierlberg, Privat Reserve}","{Grüner Veltliner, Riesling}",4
Aiken,{US},{California},{55.0},{92},{Fiddlestix Vineyard},{Pinot Noir},1
Airfield Estates,{US},{Washington},"{32.0, 35.0, 13.0, 15.0, 16.0, 18.0, 20.0, 24.0, 25.0, 28.0, 30.0}","{83, 84, 85, 86, 87, 88, 89, 90, 91}","{Reserve, Mustang, Unoaked, Flygirl, Aviator Red}","{Chardonnay, Bordeaux-style Red Blend, Red Blend, Rhône-style Red Blend, Cabernet Sauvignon}",36
Airlie,{US},{Oregon},"{35.0, 12.0, 14.0, 16.0, 20.0}","{82, 83, 86, 87, 88, 90, 91, 93}","{Barrel Fermented, Vintner's Blend, Old Vines Dry, Beckenridge, Two Vineyard Old Vines Dry}","{Chardonnay, Riesling, Pinot Noir, Gewürztraminer}",8
Aitor Ider Balbo,{Argentina},{Mendoza Province},{8.0},{82},{El Encanto},{Cabernet Sauvignon-Malbec},1
Aje,{US},{California},{45.0},{87},{Ellen's Vineyard},{Cabernet Sauvignon},1
Akarua,{New Zealand},{Central Otago},"{33.0, 50.0, 35.0, 130.0}","{91, 92, 86}","{Bannockburn, Rua, Méthode Traditionelle Brut, The Siren Bannockburn}","{Pinot Noir, Sparkling Blend}",5
Al Zagal,{Spain},{Andalucia},{15.0},{87},{Rey Zagal},{Red Blend},1
Al-Cantàra,{Italy},{Sicily & Sardinia},"{25.0, 20.0, 23.0}","{88, 89, 86}","{La Fata Galanti, Occhi di Ciumi, Muddichi di Suli}","{Nerello Cappuccio, White Blend, Nerello Mascalese}",3
Alain Brumont,{France},{Southwest France},"{35.0, 10.0, 15.0, 50.0, 19.0, 20.0, 25.0, 27.0, 30.0}","{85, 86, 87, 88, 90, 92, 93, 94, 95}","{Château Bouscassé, Brumont, Château Montus, Château Bouscassé Vieilles Vignes, Les Jardins de Bouscassé}","{Red Blend, White Blend, Tannat, Tannat-Cabernet, Tannat-Merlot}",14
Alain Girard et Fils,{France},{Loire Valley},"{29.0, 30.0}","{88, 86}","{Domaine des Brosses, Domaine des Brosses Secrets des Tronbochards}","{Pinot Noir, Rosé}",2
Alain Jaume et Fils,{France},{Rhône Valley},"{33.0, 121.0, 70.0, 9.0, 45.0, 13.0, 15.0, 16.0, 17.0, 47.0, 49.0, 20.0, 53.0, 25.0, 27.0, 29.0, 30.0}","{83, 84, 86, 87, 88, 89, 90, 91, 92, 93, 95}","{Réserve Grand Veneur, Domaine Grand Veneur La Fontaine, Domaine Grand Veneur, Terrasses de Montmirail, Domaine Grand Veneur Les Origines}","{Rhône-style Red Blend, Rhône-style White Blend, Rosé, Viognier, Syrah-Grenache}",40
Alamos,{Argentina},{Mendoza Province},"{16.0, 20.0}","{90, 85}",{Selección},"{Malbec, Pinot Noir}",4
Alana Estate,{New Zealand},{Martinborough},"{24.0, 50.0}","{88, 89}","{Lumiere, Single Vineyard}",{Pinot Noir},2
Alaverdi Monastery Cellar,{Georgia},{Kakheti},{25.0},{92},{Qvevri Traditional Kakhuri Dry Unfiltered Amber Wine},{Rkatsiteli},1
Alba,{US},{New Jersey},{13.0},{83},{Dry},{Riesling},1
Albada,{Spain},{Northern Spain},{10.0},"{81, 84}",{Viñas Viejas},"{Macabeo, Garnacha}",2
Albamar,{Chile},{Casablanca Valley},{12.0},{83},{Estate Bottled},{Chardonnay},1
Alban,{US},{California},{32.0},{91},{Estate Vineyard},{Roussanne},1
Albatross Ridge,{US},{California},"{40.0, 55.0}","{91, 93, 94, 95}","{Estate Reserve, Estate, Cuvée Vivienne Estate Grown}","{Pinot Noir, Chardonnay}",7
Albemarle,{US},{Virginia},{18.0},{86},{Simply Red},{Bordeaux-style Red Blend},1
Alberice,{Italy},{Northeastern Italy},{20.0},{85},{Sauvignon},{Sauvignon},1
Albert Besombes,{France},{Loire Valley},{11.0},{84},{Vallée des Rois},{Sauvignon Blanc},1
Albert Bichot,{France},"{Burgundy, Beaujolais}","{385.0, 130.0, 10.0, 140.0, 13.0, 12.0, 530.0, 20.0, 150.0, 23.0, 154.0, 27.0, 30.0, 32.0, 36.0, 40.0, 45.0, 47.0, 48.0, 306.0, 55.0, 65.0, 194.0, 195.0, 75.0, 79.0, 80.0, 90.0, 355.0, 99.0, 104.0, 115.0, 120.0}","{96, 83, 85, 87, 88, 89, 90, 91, 92, 93, 94, 95}","{Nouveau, Domaine du Clos Frantin, Domaine du Pavillon Clos des Ursulines, Domaine Long-Depaquit, Domaine Long-Depaquit Les Vaillons Premier Cru}","{Pinot Noir, Chardonnay, Gamay, Champagne Blend}",49
Albert Morot,{France},{Burgundy},"{65.0, 72.0, 75.0, 45.0, 60.0, 61.0}","{87, 91, 92, 93, 94, 95}","{Les Cent Vignes Premier Cru, Les Toussaints Premier Cru, Les Teurons Premier Cru, Cent-Vignes Premier Cru, Teurons Premier Cru}",{Pinot Noir},12
Albertina,{US},{California},"{24.0, 26.0}","{86, 87}","{Meredith's Reserve, Grand Reserve-Zmarzly Family Vineyards, Lorilai's Reserve-Zmarzly Family Vineyards}","{Cabernet Franc, Cabernet Sauvignon, Merlot}",3
Alberto Longo,{Italy},{Southern Italy},"{18.0, 22.0, 30.0}","{92, 87}","{Le Fossette, Le Cruste}","{Falanghina, Uva di Troia}",3
Alberto Nani,{Italy},{Veneto},{18.0},{85},{Organic Extra Dry},{Glera},1
Alberto Orte,{Spain},"{Northern Spain, Levante}","{24.0, 36.0, 37.0}","{88, 89, 90, 85}","{Sierra de la Demanda, La Antigua Clásico, Elo, La Antigua Clásico Reserva}","{Red Blend, White Blend, Monastrell}",5
Alberto Voerzio,{Italy},{Piedmont},{70.0},{91},{La Serra},{Nebbiolo},2
Albet I Noya,{Spain},{Catalonia},"{12.0, 13.0, 14.0, 15.0, 17.0, 18.0, 19.0, 20.0, 23.0, 25.0}","{82, 83, 84, 86, 87, 88, 89, 90}","{Brut Natural Reserva, XA, Petit Albet, Petit Albet Made with Organic Grapes Chardonnay-Xarel-lo, Petit Albet Brut Cava}","{Xarel-lo, Sparkling Blend, White Blend, Tempranillo-Garnacha, Red Blend}",21
Albinea Canali,{Italy},{Central Italy},{13.0},{84},{Ottocentonero},{Lambrusco},1
Albino Armani,{Italy},"{Veneto, Northeastern Italy}","{14.0, 47.0, 17.0, 18.0, 19.0, 20.0}","{91, 85, 86, 87}","{1607 Extra Dry, Casa Belfi Col Fondo, Casa Beffi Col Fondo, Colle Ara, Cle Brut Metodo Classico}","{Glera, Pinot Grigio, Sparkling Blend}",6
Albino Rocca,{Italy},{Piedmont},"{98.0, 105.0, 45.0, 50.0, 55.0, 120.0, 60.0}","{96, 89, 90, 91, 92, 93, 94}","{Ronchi, Ovello Vigna Loreto, Angelo, Montersino, Vigneto Brich Ronchi}",{Nebbiolo},16
Alcance,{Chile},"{Maule Valley, Maipo Valley}","{24.0, 50.0, 35.0, 22.0}","{88, 92, 87}","{Gran Reserva, Vigno, Bravura}","{Carignan, Carmenère, Merlot, Cabernet Sauvignon, Red Blend}",5
Alcardet,{Spain},{Central Spain},"{42.0, 30.0}","{86, 87}","{Sommelier Tempranillo-Syrah-Garnacha, Natura Brut, Sommelier Sauvignon Blanc-Airén-Verdejo}","{Rosé, Sparkling Blend, White Blend}",5
Alchemy Wine Productions,{US},{California},{25.0},{82},{Colson Canyon},{Syrah},1
Aldegheri,{Italy},{Veneto},"{65.0, 12.0, 14.0, 17.0, 18.0, 20.0, 22.0}","{85, 86, 87, 88, 90}","{Il Groto, Le Pietre Santambrogio, le Pietre, Sengia Rossa, Barricato}","{Red Blend, Corvina, Rondinella, Molinara, White Blend}",8
Alder Fels,{US},{California},{20.0},{88},{The Eagle Rock},{Chardonnay},1
Alder Springs,{US},{California},"{42.0, 29.0, 38.0, 39.0}","{88, 90, 91, 92}","{Apex 39, Signature, Row Five Red Cuvée, Estate, Kinesis}","{Chardonnay, Rhône-style White Blend, White Blend, Red Blend, Rhône-style Red Blend}",7
Alderbrook,{US},{California},"{34.0, 18.0}","{90, 87}","{Three Goose, OVOC}",{Zinfandel},2
Aldo Conterno,{Italy},{Piedmont},"{90.0, 100.0, 150.0}","{96, 90, 92, 94, 95}","{Bussia Colonnello, Bussia Cicala, Bussia Romirasco, Bussia}",{Nebbiolo},6
Aldo Polencic,{Italy},{Northeastern Italy},{52.0},{92},{Bianco degli Ulivi},{Pinot Bianco},1
Aldonia,{Spain},{Northern Spain},"{43.0, 15.0}","{90, 86}","{La Dama, Vendimia}",{Tempranillo Blend},3
Alegra,{Spain},{Northern Spain},{20.0},{88},{Crianza},{Tempranillo},2
Aleksander,{US},{California},{95.0},{94},{Reserve},{Bordeaux-style Red Blend},1
Alente,{Portugal},{Alentejo},"{18.0, 10.0, 14.0}","{89, 90, 92, 86}","{Premium, Alicante Bouschet+Aragonez+Trincadeira Reserva, Trincadeira-Aragonez, Premium Trincadeira-Aragonez}",{Portuguese Red},5
Alessandro Rivetto,{Italy},{Piedmont},{75.0},{90},{del Comune di Serralunga d'Alba},{Nebbiolo},1
Alessandro Tofanari,{Italy},{Tuscany},{21.0},{89},{Astrea},{Vernaccia},1
Alessandro di Camporeale,{Italy},{Sicily & Sardinia},"{16.0, 19.0, 25.0, 29.0, 30.0}","{86, 87, 88, 89, 91}","{Kaid, Donnatà, Benedè, Vigna di Mandranova, Donnatá}","{Nero d'Avola, Syrah, Catarratto, Grillo, Sauvignon}",8
Alex Gambal,{France},{Burgundy},"{89.0, 65.0, 130.0, 72.0, 40.0, 75.0, 45.0, 80.0, 53.0, 150.0, 56.0, 57.0, 125.0, 30.0}","{85, 86, 88, 89, 91, 92, 93, 94}","{Cuvée des Deux Papis, Vieilles Vignes, Les Murgers des Dents de Chien Premier Cru, La Maltroie Premier Cru, Clos de Cromin}","{Pinot Noir, Chardonnay}",21
Alexana,{US},{Oregon},"{65.0, 49.0, 32.0, 28.0}","{90, 91, 92}","{Revana Vineyard, Fennwood Vineyard, Rosé of, Terroir Series, Zena Crown Vineyard}","{Pinot Noir, Riesling, Pinot Gris}",8
Alexander,{Israel},"{Galilee, Israel}","{120.0, 24.0, 75.0, 36.0}","{84, 87, 89, 90, 91}","{The Great, The Great Amarolo, Reserve, Sandro}","{Cabernet Sauvignon, Red Blend, Merlot, Cabernet Sauvignon-Merlot}",5
Alexander Valley Vineyards,{US},{California},"{65.0, 35.0, 40.0, 45.0, 14.0, 15.0, 18.0, 20.0, 22.0, 55.0, 25.0, 28.0}","{81, 82, 84, 85, 86, 87, 88, 90, 91, 92}","{Wetzel Family Estate, Estate, Cyrus, Sin Zin, Alexander School Reserve}","{Zinfandel, Cabernet Sauvignon, Chardonnay, Merlot, Bordeaux-style Red Blend}",34
Alexander the Grape,{US},{Washington},{50.0},"{88, 89}","{Golden Grape Klipsun Vineyards, The Conqueror Klipsun Vineyards}","{Sémillon, Red Blend}",2
Alexandra Wine Company,{New Zealand},{Central Otago},{20.0},{88},{Crag an Oir},{Riesling},1
Alexandre Monmousseau,{France},{Loire Valley},"{25.0, 19.0}","{88, 92, 87}","{Vigneau Brut, Clos le Vigneau}","{Chenin Blanc, Chenin Blanc-Chardonnay}",3
Alexandria Nicole,{US},{Washington},"{32.0, 38.0, 42.0, 45.0, 14.0, 16.0, 18.0, 20.0, 24.0, 25.0, 27.0, 28.0}","{85, 86, 87, 88, 89, 90, 91, 94}","{Destiny Ridge Vineyard, Quarry Butte Destiny Ridge Vineyards Estate Grown, Shepherds Mark Destiny Ridge Vineyards Estate Grown White, Wild One Estate Grown Cabernet Franc Destiny Ridge Vineyards, Estate Grown Block 20 Destiny Ridge Vineyards}","{Red Blend, Merlot, Riesling, White Blend, Grenache}",36
Alfasi,{Chile},{Maule Valley},{10.0},{80},{Reserve},{Merlot},1
Alfonso Boeri,{Italy},{Piedmont},"{28.0, 14.0}","{88, 87}","{Porlapà, Martinette}",{Barbera},2
Alfred Gratien,{France},{Champagne},"{65.0, 99.0, 69.0, 140.0, 143.0, 50.0, 90.0, 125.0}","{87, 88, 90, 91, 92, 94}","{Brut, Cuvée Paradis Brut, Brut Millésimé, Blanc de Blancs Brut, Cuvée Paradis Brut Rosé}","{Champagne Blend, Chardonnay}",8
Alfredo Roca,{Argentina},{Mendoza Province},"{33.0, 11.0, 12.0, 13.0, 14.0, 15.0, 18.0, 19.0, 21.0}","{83, 84, 85, 86, 87, 88}","{Fincas, Dedicación Personal, Roca, Dedicatión Personal, Reserva de Familia}","{Sauvignon Blanc, Chardonnay, Pinot Noir, Chenin Blanc-Chardonnay, Malbec}",24
Algairen,{Spain},{Northern Spain},{21.0},{82},{Ladera},{Garnacha},1
Algodon,{Argentina},{Mendoza Province},"{21.0, 37.0, 22.0}","{89, 87}","{Estate, Estate Blend Gran Reserva}","{Red Blend, Cabernet Sauvignon-Syrah, Malbec}",3
Alheit,{South Africa},"{Olifants River, Western Cape}",{100.0},"{90, 91}","{Magnetic North Mountain Makstok, Radio Lazarus Single Vineyard}",{Chenin Blanc},2
Alias,{US},{California},"{9.0, 10.0}","{88, 84, 85}",{Secret Agent},{Red Blend},3
Alidis,{Spain},{Northern Spain},"{100.0, 70.0, 75.0, 12.0, 60.0, 49.0, 17.0, 50.0, 56.0, 59.0, 28.0, 125.0}","{84, 85, 86, 87, 90, 91, 92, 93}","{VS, Gran Reserva, Expresión, Reserva, Crianza}",{Tempranillo},19
Alienor,{US},{California},"{65.0, 45.0}","{89, 93, 94}","{Grand Vin, Cote de Castelero}","{Bordeaux-style Red Blend, Syrah}",3
Alion,{Spain},{Northern Spain},{102.0},{88},{Alion},{Tempranillo},1
Aljibes,{Spain},{Central Spain},"{19.0, 20.0, 70.0, 15.0}","{88, 84}","{Selectus, VA Viña Aljibes, VA, Viña Aljibes Cabernet  Sauvignon-Syrah-Cabernet Franc-Tempranillo}","{Red Blend, Sauvignon Blanc-Chardonnay}",5
Alkoomi,{Australia},{Western Australia},{16.0},{87},{Unwooded White Label},{Chardonnay},1
All About Red,{US},{California},{13.0},{89},{California},{Red Blend},1
Allegrini,{Italy},"{Veneto, Northeastern Italy}","{32.0, 67.0, 12.0, 20.0, 85.0, 22.0, 87.0, 90.0, 28.0, 95.0}","{86, 87, 88, 89, 90, 92, 93, 94}","{La Poja, Corte Giara, Palazzo della Torre, La Grola, Recioto Giovanni Allegrini}","{Red Blend, Corvina, Corvina, Rondinella, Molinara, Pinot Grigio}",14
Alleromb,{US},{Washington},"{65.0, 38.0, 40.0, 48.0, 80.0, 90.0, 60.0}","{88, 89, 90, 91, 93, 94}","{Scarline Vineyard, La Reyna Blanca Vineyard, La Gran Flor Scarline Vineyard, Corfu Crossing Vineyard, Vineyard Collection Scarline Vineyard}","{Chardonnay, Bordeaux-style Red Blend, Syrah, Cabernet Sauvignon, Grenache}",12
Allesverloren,{South Africa},{Swartland},{22.0},{86},{Estate},{Cabernet Sauvignon},1
Alliance Loire,{France},{Loire Valley},"{11.0, 12.0, 13.0, 14.0, 15.0, 18.0}","{83, 84, 85, 86}","{Demoiselle Bleue, Cour de Rohan, Réserve des Vignerons, Domaine de la Lysardière, Domaine du Grand Breviande}","{Rosé, Cabernet Franc, Chenin Blanc, Melon}",11
Alliata,{Italy},{Sicily & Sardinia},{30.0},"{88, 87}",{Lorlando},{Nero d'Avola},2
Allimant-Laugner,{France},{Alsace},"{25.0, 20.0}","{87, 88, 89, 91, 92}","{Rosé, Brut, Praelatenberg Grand Cru}","{Sparkling Blend, Riesling, Pinot Noir}",6
Allora,{US},{California},"{60.0, 45.0}",{86},"{Cielo, Tresca}","{Red Blend, Cabernet Sauvignon}",2
Alloro,{US},{Oregon},"{34.0, 35.0, 45.0, 85.0, 28.0}","{96, 91, 92, 93, 94, 95}","{Estate, Estate Riservata, Estate Justina}","{Pinot Noir, Chardonnay}",14
Allram,{Austria},{Kamptal},"{33.0, 35.0, 42.0, 14.0, 15.0, 23.0, 26.0, 28.0, 29.0, 30.0, 31.0}","{89, 90, 91, 92, 93, 94}","{Gaisberg Reserve, Heiligenstein Reserve, Strassertaler, Hasel Alte Reben Reserve, Gaisberg}","{Grüner Veltliner, Riesling}",20
Allure,{US},{California},"{13.0, 15.0}","{84, 87}","{Bubbly, Bubbly Pink, Pink}",{Moscato},4
Allée Bleue,{South Africa},{Western Cape},{13.0},{87},{Starlette Blanc},{White Blend},1
Alma Andina,{Argentina},{Mendoza Province},{16.0},{87},{Reserve},{Malbec},1
Alma Fria,{US},{California},"{40.0, 58.0, 62.0}","{88, 89, 91, 92, 93}","{Holtermann Vineyard, Plural, Dona Margarita Vineyard, Doña Margarita Vineyard}","{Pinot Noir, Chardonnay}",6
Alma Negra,{Argentina},{Mendoza Province},"{80.0, 20.0}","{89, 84}","{Brut Nature Rosé, Gran Misterio}","{Sparkling Blend, Red Blend}",2
Alma Rosa,{US},{California},"{65.0, 33.0, 28.0, 45.0, 49.0, 50.0, 20.0, 55.0, 58.0, 60.0, 30.0}","{83, 87, 88, 89, 90, 91, 92, 93, 95}","{La Encantada Vineyard, El Jabali Vineyard, La Encantada Vineyard - Clone 777, Mt. Eden Clone El Jabali Vineyard, Clone 115}","{Pinot Noir, Chardonnay, Sparkling Blend, Pinot Gris, Pinot Blanc}",29
Alma Sol,{US},{California},"{32.0, 34.0, 38.0}","{88, 90, 86}","{Meritage, Almazan, Reserve}","{Cabernet Sauvignon-Merlot, Tempranillo, Cabernet Sauvignon}",3
Alma de Cattleya,{US},{California},{20.0},{88},{Alma de Cattleya Rose of},{Pinot Noir},1
Alma de los Andes,{Argentina},{Mendoza Province},"{25.0, 15.0}","{91, 85}","{Reserva, Tannat-Malbec}","{Malbec, Red Blend}",3
Alma del Sur,{Argentina},{Mendoza Province},"{10.0, 18.0, 12.0}","{80, 83, 84, 85, 86, 87, 89}","{Colección, Seleccionada}","{Bonarda, Malbec, Cabernet Sauvignon, Cabernet Sauvignon-Malbec}",9
AlmaTerra,{US},{Washington},"{50.0, 55.0}","{89, 91}","{Ciel du Cheval Vineyard, Coéo Three Vineyard}",{Syrah},2
Almira,{Spain},{Northern Spain},{8.0},"{86, 87}",{Los Dos Old Vines},{Grenache-Syrah},2
Almquist,{US},{Washington},"{32.0, 35.0, 45.0, 20.0, 25.0, 28.0, 30.0}","{85, 86, 87, 88, 89, 90}","{Vintner's Select Konnowac Vineyard, Northridge Vineyard, Garagiste Rosso, Clifton Vineyard, Vintner's Select Spice Cabinet Vineyard}","{Red Blend, Syrah, Merlot, Dolcetto, Zinfandel}",28
Alois,{Italy},{Southern Italy},"{50.0, 30.0}","{90, 87}","{Caiatì-Morrone, Cunto-Murella}","{Pallagrello Bianco, Pallagrello Nero}",2
Alois Lageder,{Italy},{Northeastern Italy},"{40.0, 45.0, 48.0, 50.0, 20.0, 23.0, 25.0, 30.0}","{85, 87, 88, 89, 91, 92, 93}","{Lindenburg, Krafuss, Löwengang, Lehen, Haberle}","{Lagrein, Chardonnay, Sauvignon, Pinot Bianco, Pinot Grigio}",15
Alonso del Yerro,{Spain},{Northern Spain},{102.0},{89},{María},{Tinto Fino},1
Alpamanta,{Argentina},{Mendoza Province},"{42.0, 13.0, 14.0, 15.0, 25.0, 29.0}","{81, 82, 83, 84, 85, 86, 87, 92}","{Natal, Estate, Breva}","{Malbec, Cabernet Sauvignon, Sauvignon Blanc, Chardonnay}",10
Alpasión,{Argentina},{Mendoza Province},{40.0},{91},{Private Selection},{Malbec-Cabernet Franc},1
Alpataco,{Argentina},{Other},{20.0},"{88, 84}",{Reserve},"{Cabernet Sauvignon, Malbec}",2
Alpha Crucis,{Australia},{South Australia},"{28.0, 29.0}","{89, 92}",{Titan},"{Cabernet Sauvignon, Shiraz}",2
Alpha Estate,{Greece},"{Florina, Amyndeon}","{36.0, 38.0, 17.0, 18.0, 20.0, 21.0, 24.0, 59.0}","{84, 86, 87, 88, 89, 91, 92}","{Hedgehog Vineyard, Turtles Vineyard, Syrah-Xinomavro, Alpha One Unfiltered, Axia Syrah Xinomavro}","{Xinomavro, Red Blend, Malagousia, Malagouzia, Merlot}",15
Alpha Loire,{France},{Loire Valley},{15.0},{85},{Domaine de la Croix Bouqure},{Sauvignon Blanc},1
Alpha Omega,{US},{California},"{64.0, 195.0, 250.0, 42.0, 140.0, 300.0, 110.0, 170.0, 82.0, 210.0, 150.0, 88.0, 90.0, 92.0}","{97, 98, 99, 86, 88, 90, 91, 92, 93, 94, 95}","{Proprietary, Beckstoffer Georges III, Proprietary Red Wine, ERA, Beckstoffer Missouri Hopper}","{Cabernet Sauvignon, Bordeaux-style Red Blend, Chardonnay}",25
Alphart,{Austria},{Thermenregion},{25.0},{88},{Vom Berg},{Rotgipfler},1
Alphonse Mellot,{France},{Loire Valley},"{34.0, 75.0, 112.0, 57.0, 27.0}","{88, 91, 93, 94}","{La Moussière, Les Herses, En Grands Champs, Génération Dix-Neuf}","{Sauvignon Blanc, Pinot Noir, Rosé}",6
Alta,{US},{California},"{42.0, 75.0, 54.0}","{90, 91, 92, 82}","{Oso Malo, Quatreaux, Vintners Reserve}","{Cabernet Sauvignon, Bordeaux-style Red Blend}",4
Alta Alella,{Spain},"{Catalonia, Spain Other}","{14.0, 18.0, 21.0, 22.0, 24.0, 25.0, 26.0, 27.0, 28.0, 32.0, 33.0, 35.0, 36.0, 38.0, 39.0, 40.0, 46.0, 50.0, 59.0}","{83, 84, 86, 87, 88, 89, 90, 91, 92}","{Parvus, Privat Gran Reserva Brut Nature, Privat Reserva Brut Nature Rosé, Bruel, Privat Laietà Gran Reserva Brut Nature}","{Sparkling Blend, Pansa Blanca, Chardonnay, Syrah, Red Blend}",43
Alta Cima,{Chile},{Lontué Valley},"{16.0, 11.0}","{88, 86}","{Speical Edition Reserva, Special Edition Ensamblaje Gran Reserva}","{Syrah, Red Blend}",2
Alta Colina,{US},{California},"{32.0, 35.0, 38.0, 42.0, 46.0, 48.0, 55.0}","{87, 88, 90, 91, 92, 93, 94}","{Old 900, Toasted Slope Estate, Estate, Claudia Cuvée Estate, 12 O'Clock High}","{Syrah, G-S-M, Marsanne, Viognier, Rhône-style Red Blend}",18
Alta Luna,{Italy},{Northeastern Italy},{12.0},{88},{Phases},{Red Blend},1
Alta Maria,{US},{California},"{38.0, 40.0, 48.0, 18.0, 24.0, 60.0}","{91, 92, 93, 87}","{Carbonic, Rancho Viñedo, Bien Nacido Vineyard, Uriel J. Nielson Vineyard, Rosé}","{Pinot Noir, Chardonnay, Grenache}",8
Alta Pavina,{Spain},{Northern Spain},{30.0},{90},{Pago La Pavina},{Tempranillo Blend},1
Alta Vista,{Argentina},"{Mendoza Province, Other}","{9.0, 12.0, 13.0, 14.0, 48.0, 50.0, 19.0, 20.0, 85.0, 22.0, 25.0, 90.0, 29.0, 30.0}","{96, 80, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95}","{Premium, Classic, Estate, Single Vineyard Temis, Terroir Selection}","{Malbec, Torrontés, Red Blend, Cabernet Sauvignon, Rosé}",39
Altamana,{Chile},{Maule Valley},"{18.0, 46.0}","{89, 90, 84}","{Grande Reserve, Single Vineyard Constanza}",{Malbec},3
Altamira,{Argentina},{Mendoza Province},{25.0},"{92, 86}","{de los Andes Reserve, Navigato Family Selection}","{Malbec, Bordeaux-style Red Blend}",2
Altanza,{Spain},{Northern Spain},"{16.0, 36.0, 15.0}","{88, 84, 86}","{Capitoso, Dominio de Heredia, Lealtanza Selección Especial Reserva}",{Tempranillo},3
Altas Quintas,{Portugal},{Alentejano},{35.0},"{88, 90}","{Tinto, Branco}","{Portuguese Red, Portuguese White}",3
Altavia,{Italy},{Italy Other},{25.0},{85},{Noname Dolceacqua},{White Blend},1
Altavins,{Spain},{Catalonia},"{12.0, 14.0, 17.0, 22.0, 23.0}","{88, 85, 87}","{Almodí Petit, Tempus, Ilercavònia}","{Red Blend, White Blend, Grenache Blanc}",6
Altaïr,{Chile},"{Rapel Valley, Cachapoal Valley}","{65.0, 80.0, 25.0, 30.0, 31.0}","{90, 91, 93}","{Sideral, Altaïr}",{Cabernet Blend},7
Altemasi,{Italy},{Northeastern Italy},"{45.0, 50.0, 55.0, 24.0, 30.0}","{86, 88, 89, 90, 91}","{Brut, Rosé, Pas Dosé Metodo Classico, Graal Riserva Brut, Graal Metodo Classico Riserva}","{Sparkling Blend, Chardonnay}",10
Altesino,{Italy},{Tuscany},"{100.0, 40.0, 80.0, 18.0, 20.0, 125.0}","{97, 87, 89, 90, 91, 92, 93}","{Montosoli, Palazzo Altesi, Rosso, Alte d'Altesi, Riserva}","{Sangiovese, Red Blend, Sangiovese Grosso}",11
Althe'a,{Italy},{Veneto},{16.0},{87},{Brut},{Glera},1
Althéa,{Italy},{Veneto},{18.0},"{88, 87}","{Extra Dry, Brut}",{Glera},3
